33004,فاطمة الزهراء,الشرقية,14,البيضاء,التانية,2,4,شحات,شحات القديمة,شحات,عام,21.8661,32.8136,
33005,صلاح الدين,الشرقية,14,البيضاء,التانية,2,4,شحات,شحات الجديدة,شحات,عام,21.8619,32.8081,
33003,المنصورة,الشرقية,14,البيضاء,التانية,2,4,شحات,المنصورة,المنصورة,عام,21.842196,32.835014,
33035,شهداء البيضاء الجديدة,الشرقية,14,البيضاء,التانية,2,5,البيضاء,الغريقة,البيضاء,عام,21.792744,32.763142,
33049,وردامة,الشرقية,14,البيضاء,التانية,2,5,البيضاء,وردامه,وردامه,عام,21.788214,32.798971,
33041,انتفاضة 17 فبراير,الشرقية,14,البيضاء,التانية,2,5,البيضاء,جردس الجراري,جردس الجراري,عام,21.7878,32.5275,
33039,نسيبة بنت كعب,الشرقية,14,البيضاء,التانية,2,5,البيضاء,الغريقة,البيضاء,عام,21.785625,32.758125,
11098,القرضابية,الغربية,2,مصراتة,التاسعة,9,48,بني وليد,الوحدة العربية,بني وليد,عام,,,N
33033,وجدة,الشرقية,14,البيضاء,التانية,2,5,البيضاء,الغريقة,البيضاء,عام,21.777414,32.763036,
33034,الحرية,الشرقية,14,البيضاء,التانية,2,5,البيضاء,الغريقة,البيضاء,عام,21.777394,32.766229,
33038,ابن خلدون,الشرقية,14,البيضاء,التانية,2,5,البيضاء,الغريقة,البيضاء,عام,21.767909,32.763282,
33031,عقبة بن نافع,الشرقية,14,البيضاء,التانية,2,5,البيضاء,الغريقة,البيضاء,عام,21.7664,32.7547,
33030,رويفع الانصاري,الشرقية,14,البيضاء,التانية,2,5,البيضاء,الغريقة,البيضاء,عام,21.761678,32.763166,
33017,خالد بن الواليد,الشرقية,14,البيضاء,التانية,2,5,البيضاء,البيضاء الشرقية,البيضاء,عام,21.756608,32.766603,
33032,الاستقلال,الشرقية,14,البيضاء,التانية,2,5,البيضاء,الغريقة,البيضاء,عام,21.756427,32.763236,
33036,احفاد المختار,الشرقية,14,البيضاء,التانية,2,5,البيضاء,الغريقة,البيضاء,عام,21.755479,32.787905,
33037,رابعة العدوية,الشرقية,14,البيضاء,التانية,2,5,البيضاء,الغريقة,البيضاء,عام,21.751388,32.762222,
33027,اليقظة,الشرقية,14,البيضاء,التانية,2,5,البيضاء,الغريقة,البيضاء,عام,21.748394,32.754044,
33016,فتاة ليبيا,الشرقية,14,البيضاء,التانية,2,5,البيضاء,البيضاء الشرقية,البيضاء,عام,21.747362,32.765835,
33015,الزهراء,الشرقية,14,البيضاء,التانية,2,5,البيضاء,البيضاء,البيضاء,عام,21.746141,32.752547,
33028,الخنساء,الشرقية,14,البيضاء,التانية,2,5,البيضاء,الغريقة,البيضاء,عام,21.7436,32.7558,
33026,النصر,الشرقية,14,البيضاء,التانية,2,5,البيضاء,السوق القديم,البيضاء,عام,21.7394,32.7603,
33025,الميدان,الشرقية,14,البيضاء,التانية,2,5,البيضاء,السوق القديم,البيضاء,عام,21.737751,32.753551,
33020,النهضة,الشرقية,14,البيضاء,التانية,2,5,البيضاء,البيضاء الغربية,البيضاء,عام,21.735945,32.762412,
33019,الاسراء والمعراج,الشرقية,14,البيضاء,التانية,2,5,البيضاء,البيضاء الغربية,البيضاء,عام,21.7308,32.7644,
33024,الزاوية القديمة,الشرقية,14,البيضاء,التانية,2,5,البيضاء,الزاوية القديمة,البيضاء,عام,21.715,32.7639,
13107,الابيرات,الغربية,3,الخمس,العاشرة,10,50,ترهونة,سيدى حميد,ترهونة,عام,,,N
11097,الفتح,الغربية,1,سرت,الخامسة,5,20,سرت,السكانية الثالثة,سرت,عام,,,N
11092,الفرجان,الغربية,1,سرت,الخامسة,5,21,الجفرة,الفرجان,سوكنة,عام,,,N
33014,الشورى,الشرقية,14,البيضاء,التانية,2,5,البيضاء,اسلنطه,اسلنطه,عام,21.7128,32.59,
33021,القلعة / الوسيطة,الشرقية,14,البيضاء,التانية,2,5,البيضاء,البيضاء الغربية,الوسيطة,عام,21.6917,32.7986,
22073,القدس للتعليم الاساسي,الجنوبية,10,اوباري,السابعة,7,27,مرزق - جيزاو - مرزق المدينة,مرزق,مرزق,عام,,,N
22071,نقر كنمة للتعليم الأساسى,الجنوبية,10,اوباري,السابعة,7,31,القطرون - تجرهي - قصر مسعود - البخي - مدروسة - نقر كتمة,نقر كنمة,نقر كنمة,عام,,,N
11094,القصير الاعدادية,الغربية,1,سرت,الخامسة,5,21,الجفرة,القصير,هون,عام,,,N
34180,مدرسة وادي الباب ,الشرقية,15,بنغازي,الثالثة,3,12,سلوق,وادي الباب ,وادي الباب ,عام,,,NN
11095,عقبة بن نافع,الغربية,1,سرت,الخامسة,5,21,الجفرة,ودان,ودان,عام,,,N
11090,الظهير,الغربية,1,سرت,الخامسة,5,20,سرت,الظهير,سرت,عام,,,N
11091,الشموخ,الغربية,1,سرت,الخامسة,5,20,سرت,شرق سرت,سرت,عام,,,N
33042,عمر المختار للبنات,الشرقية,14,البيضاء,التانية,2,5,البيضاء,عمر المختار,عمر المختار,عام,21.6742,32.6328,
33018,الفردوس,الشرقية,14,البيضاء,التانية,2,5,البيضاء,البيضاء الشرقية,البيضاء,عام,21.661242,32.875905,
33046,ماسه المشتركة,الشرقية,14,البيضاء,التانية,2,5,البيضاء,ماسه الجنوبية,ماسه,عام,21.62736,32.750102,
33047,خولة بنت الازور,الشرقية,14,البيضاء,التانية,2,5,البيضاء,ماسه الشمالية,ماسه,عام,21.6247,32.7531,
33040,سليون,الشرقية,14,البيضاء,التانية,2,5,البيضاء,الوسيطه,الوسيطه,عام,21.624393,32.787961,
33045,عمر بن العزيز,الشرقية,14,البيضاء,التانية,2,5,البيضاء,ماسه,سيدي عبدالواحد,عام,21.579776,32.724967,
33044,عبدالرحيم بوبكر,الشرقية,14,البيضاء,التانية,2,5,البيضاء,قندولة,قندولة,عام,21.5756,32.5401,
33082,جادالله النيان,الشرقية,14,البيضاء,التانية,2,7,قصر ليبيا,اقفنطه,اقفنطه,عام,21.5475,32.7467,
33043,شهداء الزاوية,الشرقية,14,البيضاء,التانية,2,5,البيضاء,قصر المقدم,قصر المقدم,عام,21.5447,32.665,
33023,الخويمات,الشرقية,14,البيضاء,التانية,2,5,البيضاء,الخويمات,الخويمات,عام,21.5314,32.0006,
33087,الحنية الاساسية,الشرقية,14,البيضاء,التانية,2,7,قصر ليبيا,الحنية,الحنية,عام,21.5186,32.8422,
33089,بالحديد,الشرقية,14,البيضاء,التانية,2,7,قصر ليبيا,بالحديد,بالحديد,عام,21.512848,32.684897,
35049,محمد يوسف بوعوينه,الشرقية,16,اجدابيا,الرابعة,4,16,جالو - جخرة,راشدة - جالو,جالو,عام,21.50992,29.005198,
35048,أبن البيطار,الشرقية,16,اجدابيا,الرابعة,4,16,جالو - جخرة,راشدة - جالو,جالو,عام,21.495903,29.02343,
34400,مخيم نازحين -  الحليس -  بنغازي,الشرقية,15,بنغازي,التاسعة,9,46,تاورغاء,,,نازحين,19.986094,31.915858,
33022,المجاهد محمد بلقاسم,الشرقية,14,البيضاء,التانية,2,5,البيضاء,الجهاد,الجهاد,عام,21.485,32.5702,
34041,الرسالة المقدسة,الشرقية,15,بنغازي,الثالثة,3,8,بنغازي,البركة,البركة,عام,20.10490556,32.08989722,
34064,غرناطة,الشرقية,15,بنغازي,الثالثة,3,8,بنغازي,الكيش,البركة,عام,20.07812222,32.08321111,
34161,كلية التربية,الشرقية,15,بنغازي,الثالثة,3,11,قمينس,قمينس,قمينس,عام,20.02042222,31.65863333,
34164,حسان بن ثابت,الشرقية,15,بنغازي,الثالثة,3,12,سلوق,المقرون,المقرون,عام,20.02042222,31.56863333,
34160,الشهيد فرج البدري,الشرقية,15,بنغازي,الثالثة,3,11,قمينس,قمينس,قمينس,عام,20.01432778,31.66059722,
34159,جمال عبدالناصر,الشرقية,15,بنغازي,الثالثة,3,11,قمينس,قمينس,قمينس,عام,20.01347222,31.65629167,
