candidate 113 votes included quarantine,ballot number,stations,stations completed,stations percent completed,candidate 1 name,candidate 1 votes,candidate 1 votes included quarantine,candidate 2 name,candidate 2 votes,candidate 2 votes included quarantine,candidate 3 name,candidate 3 votes,candidate 3 votes included quarantine,candidate 4 name,candidate 4 votes,candidate 4 votes included quarantine,candidate 5 name,candidate 5 votes,candidate 5 votes included quarantine,candidate 6 name,candidate 6 votes,candidate 6 votes included quarantine,candidate 7 name,candidate 7 votes,candidate 7 votes included quarantine,candidate 8 name,candidate 8 votes,candidate 8 votes included quarantine,candidate 9 name,candidate 9 votes,candidate 9 votes included quarantine,candidate 10 name,candidate 10 votes,candidate 10 votes included quarantine,candidate 11 name,candidate 11 votes,candidate 11 votes included quarantine,candidate 12 name,candidate 12 votes,candidate 12 votes included quarantine,candidate 13 name,candidate 13 votes,candidate 13 votes included quarantine,candidate 14 name,candidate 14 votes,candidate 14 votes included quarantine,candidate 15 name,candidate 15 votes,candidate 15 votes included quarantine,candidate 16 name,candidate 16 votes,candidate 16 votes included quarantine,candidate 17 name,candidate 17 votes,candidate 17 votes included quarantine,candidate 18 name,candidate 18 votes,candidate 18 votes included quarantine,candidate 19 name,candidate 19 votes,candidate 19 votes included quarantine,candidate 20 name,candidate 20 votes,candidate 20 votes included quarantine,candidate 21 name,candidate 21 votes,candidate 21 votes included quarantine,candidate 22 name,candidate 22 votes,candidate 22 votes included quarantine,candidate 23 name,candidate 23 votes,candidate 23 votes included quarantine,candidate 24 name,candidate 24 votes,candidate 24 votes included quarantine,candidate 25 name,candidate 25 votes,candidate 25 votes included quarantine,candidate 26 name,candidate 26 votes,candidate 26 votes included quarantine,candidate 27 name,candidate 27 votes,candidate 27 votes included quarantine,candidate 28 name,candidate 28 votes,candidate 28 votes included quarantine,candidate 29 name,candidate 29 votes,candidate 29 votes included quarantine,candidate 30 name,candidate 30 votes,candidate 30 votes included quarantine,candidate 31 name,candidate 31 votes,candidate 31 votes included quarantine,candidate 32 name,candidate 32 votes,candidate 32 votes included quarantine,candidate 33 name,candidate 33 votes,candidate 33 votes included quarantine,candidate 34 name,candidate 34 votes,candidate 34 votes included quarantine,candidate 35 name,candidate 35 votes,candidate 35 votes included quarantine,candidate 36 name,candidate 36 votes,candidate 36 votes included quarantine,candidate 37 name,candidate 37 votes,candidate 37 votes included quarantine,candidate 38 name,candidate 38 votes,candidate 38 votes included quarantine,candidate 39 name,candidate 39 votes,candidate 39 votes included quarantine,candidate 40 name,candidate 40 votes,candidate 40 votes included quarantine,candidate 41 name,candidate 41 votes,candidate 41 votes included quarantine,candidate 42 name,candidate 42 votes,candidate 42 votes included quarantine,candidate 43 name,candidate 43 votes,candidate 43 votes included quarantine,candidate 44 name,candidate 44 votes,candidate 44 votes included quarantine,candidate 45 name,candidate 45 votes,candidate 45 votes included quarantine,candidate 46 name,candidate 46 votes,candidate 46 votes included quarantine,candidate 47 name,candidate 47 votes,candidate 47 votes included quarantine,candidate 48 name,candidate 48 votes,candidate 48 votes included quarantine,candidate 49 name,candidate 49 votes,candidate 49 votes included quarantine,candidate 50 name,candidate 50 votes,candidate 50 votes included quarantine,candidate 51 name,candidate 51 votes,candidate 51 votes included quarantine,candidate 52 name,candidate 52 votes,candidate 52 votes included quarantine,candidate 53 name,candidate 53 votes,candidate 53 votes included quarantine,candidate 54 name,candidate 54 votes,candidate 54 votes included quarantine,candidate 55 name,candidate 55 votes,candidate 55 votes included quarantine,candidate 56 name,candidate 56 votes,candidate 56 votes included quarantine,candidate 57 name,candidate 57 votes,candidate 57 votes included quarantine,candidate 58 name,candidate 58 votes,candidate 58 votes included quarantine,candidate 59 name,candidate 59 votes,candidate 59 votes included quarantine,candidate 60 name,candidate 60 votes,candidate 60 votes included quarantine,candidate 61 name,candidate 61 votes,candidate 61 votes included quarantine,candidate 62 name,candidate 62 votes,candidate 62 votes included quarantine,candidate 63 name,candidate 63 votes,candidate 63 votes included quarantine,candidate 64 name,candidate 64 votes,candidate 64 votes included quarantine,candidate 65 name,candidate 65 votes,candidate 65 votes included quarantine,candidate 66 name,candidate 66 votes,candidate 66 votes included quarantine,candidate 67 name,candidate 67 votes,candidate 67 votes included quarantine,candidate 68 name,candidate 68 votes,candidate 68 votes included quarantine,candidate 69 name,candidate 69 votes,candidate 69 votes included quarantine,candidate 70 name,candidate 70 votes,candidate 70 votes included quarantine,candidate 71 name,candidate 71 votes,candidate 71 votes included quarantine,candidate 72 name,candidate 72 votes,candidate 72 votes included quarantine,candidate 73 name,candidate 73 votes,candidate 73 votes included quarantine,candidate 74 name,candidate 74 votes,candidate 74 votes included quarantine,candidate 75 name,candidate 75 votes,candidate 75 votes included quarantine,candidate 76 name,candidate 76 votes,candidate 76 votes included quarantine,candidate 77 name,candidate 77 votes,candidate 77 votes included quarantine,candidate 78 name,candidate 78 votes,candidate 78 votes included quarantine,candidate 79 name,candidate 79 votes,candidate 79 votes included quarantine,candidate 80 name,candidate 80 votes,candidate 80 votes included quarantine,candidate 81 name,candidate 81 votes,candidate 81 votes included quarantine,candidate 82 name,candidate 82 votes,candidate 82 votes included quarantine,candidate 83 name,candidate 83 votes,candidate 83 votes included quarantine,candidate 84 name,candidate 84 votes,candidate 84 votes included quarantine,candidate 85 name,candidate 85 votes,candidate 85 votes included quarantine,candidate 86 name,candidate 86 votes,candidate 86 votes included quarantine,candidate 87 name,candidate 87 votes,candidate 87 votes included quarantine,candidate 88 name,candidate 88 votes,candidate 88 votes included quarantine,candidate 89 name,candidate 89 votes,candidate 89 votes included quarantine,candidate 90 name,candidate 90 votes,candidate 90 votes included quarantine,candidate 91 name,candidate 91 votes,candidate 91 votes included quarantine,candidate 92 name,candidate 92 votes,candidate 92 votes included quarantine,candidate 93 name,candidate 93 votes,candidate 93 votes included quarantine,candidate 94 name,candidate 94 votes,candidate 94 votes included quarantine,candidate 95 name,candidate 95 votes,candidate 95 votes included quarantine,candidate 96 name,candidate 96 votes,candidate 96 votes included quarantine,candidate 97 name,candidate 97 votes,candidate 97 votes included quarantine,candidate 98 name,candidate 98 votes,candidate 98 votes included quarantine,candidate 99 name,candidate 99 votes,candidate 99 votes included quarantine,candidate 100 name,candidate 100 votes,candidate 100 votes included quarantine,candidate 101 name,candidate 101 votes,candidate 101 votes included quarantine,candidate 102 name,candidate 102 votes,candidate 102 votes included quarantine,candidate 103 name,candidate 103 votes,candidate 103 votes included quarantine,candidate 104 name,candidate 104 votes,candidate 104 votes included quarantine,candidate 105 name,candidate 105 votes,candidate 105 votes included quarantine,candidate 106 name,candidate 106 votes,candidate 106 votes included quarantine,candidate 107 name,candidate 107 votes,candidate 107 votes included quarantine,candidate 108 name,candidate 108 votes,candidate 108 votes included quarantine,candidate 109 name,candidate 109 votes,candidate 109 votes included quarantine,candidate 110 name,candidate 110 votes,candidate 110 votes included quarantine,candidate 111 name,candidate 111 votes,candidate 111 votes included quarantine,candidate 112 name,candidate 112 votes,candidate 112 votes included quarantine,candidate 113 name,candidate 113 votes
,38,35,0,0.0,عبدالمنعم عمر خليفة المروم,0,0,عمر احمد عبدالجليل جدول,0,0,عبدالوهاب الصادق الطاهر عراب,0,0,مصطفى علي المهدي غريبي,0,0,الهادي عمر محمد الفلوس,0,0,صلاح الصهبي علي بلحوق,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40,43,0,0.0,خليفة محمد علي بن علي,0,0,عمر غيث قرميل ابوكدر,0,0,علي محمد محمد عامر,0,0,محمد عبدالقادر سالم بيترو,0,0,عبدالسلام عبدالله امحمد نصية,0,0,عبدالله ابراهيم علي سحبانة,0,0,عبدالله احمد محمد القحيص,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,41,66,23,34.0,علي محمد ابوالقاسم ابراهيم,4024,4024,احمد علي احمد عمر,655,655,محمد حسن مسعود الشويشين,422,422,الطاهر ضو مسعود علي الرفاعي,17,17,علي مصباح المبروك الكباشي,10,10,حسن ابراهيم خليفة الحرك,6,6,محمد احمد سالم المبروك سالم,5,5,حسن عبدالسلام المبروك ابراهيم الشنشاني,5,5,المبروك علي مسعود الشويشين الجلد,3,3,عبدالحكيم احمد محمد مكاري,3,3,اسماعيل المختار علي شعالة,3,3,الطاهر محمد علي غريبة,3,3,ابراهيم محمد امحمد غريبة,3,3,مصطفى محمد ابراهيم غريبة,3,3,موسى احمد محمد امحمد الرقيق,2,2,فرج امحمد مسعود حسن,1,1,فهمي عبدالرحمن علي التواتي,1,1,طلال محمد علي بشير,1,1,رمضان ادريس سعيد سويسي,1,1,حسن علي عبدالله الضبع,0,0,منير عبدالله سعد مكاري,0,0,احمد السنوسي احمد علي,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,42,42,0,0.0,احمد ايوب مسعود ايوب,0,0,خيري خليفة عمرو الطالب,0,0,سالم مسعود سالم قنان,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,43,47,0,0.0,علي خليفة علي اسطيلة,0,0,محمد احمد نصر ابوسنينة,0,0,المبروك سعيد امحمد الهلاك,0,0,محمد خليفة عبدالله ادهينه,0,0,احفيظ خليفة احمد شنينة,0,0,امين شمس الدين امين شيحة,0,0,محمد الكيال احنين العثري,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,44,44,0,0.0,طارق عمر نصر برطشة,0,0,محمد عطية محمد عمر,0,0,عثمان سعيد محمد احمد,0,0,علي خليفة محمد العيساوي,0,0,فتحي ابراهيم احتيوش احتيوش,0,0,مصطفى عطية عبدالله عبدالله البدراني,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,45,48,0,0.0,عبدالقادر بشير عبدالقادر هيبة,0,0,يوسف سليمان ميلود هبو,0,0,الشيباني حمادي عصمان بلال,0,0,ابوبكر عمر محمد هارون,0,0,اسامة صالح عطية موسى,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,46,54,5,9.0,مصطفى مخلوف علي اقريمة,216,216,جاب الله محمد جاب الله محمد,205,205,علي سالم عبدالهادي اكرن,46,46,عالية مفتاح عبدالحفيظ عمر,21,21,سالم ادم جمعة حسن,19,19,صبري عيسى ابراهيم ابديوي,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,47,263,108,41.0,سليمان محمد محمد الفقيه,5267,5267,فتحي علي عبدالسلام باشاغا,2755,2755,محمد عبدالكريم محمد الرعيض,1315,1315,عبدالرحمن الشيباني احمد السويحلي,973,973,محمد ابراهيم علي الضراط,903,903,محمد منصور علي حنيش,819,819,كمال البشير احمد الجمل,810,810,محمد حسن احمد الفقيه,632,632,سليمان محمد ابوبكر البيوضي,613,613,حسن احمد علي الاشلم,567,567,علي مصطفى بشير ابوفناس,483,483,ابراهيم رمضان الفيتوري بن رمضان,481,481,طاهر امحمد عثمان بن طاهر,383,383,عبدالله محمد ابوبكر الناضوري,351,351,محمد المهدي محمد اشتيوي,316,316,نجم الدين محمد علي الناقوزي,305,305,عبدالواحد علي محمد الشيخ,270,270,مصطفى محمد موسى محمود,269,269,محمود عمر محمود ساطي,269,269,محمد علي محمد الجريدي كرواد,253,253,السنوسي محمود امحمد سويب,248,248,محمد ادريس محمود محمد طرينة,205,205,الطيب محمد علي اميمه,196,196,علي حسن محمد صوان,191,191,محمد علي احمد الشريف,182,182,عبدالله محمد عوض الدرويش,165,165,احمد محمد احمد جحا,163,163,عبدالقادر عبدالله عثمان خضر,144,144,عبدالفتاح علي عامر ابوشوفة,142,142,علي اسماعيل احمد درز,132,132,علي خليل علي البرقلي,122,122,محمد سالم الصغير قريصة,121,121,فتحي احمد محمد الغزالي,121,121,عمر سالم رمضان الصنكي,118,118,صالح عبدالسلام عبدالقادر الصيد,101,101,علي عبدالقادر عبدالله الجعراني,97,97,محمد علي محمد القطيط,92,92,جلال عمر محمد الحداد,92,92,عبدالكريم جمال عبدالكريم كرواد,88,88,محمد عمر محمد المنقوش,79,79,عمرو عبدالقادر احمد جحا,68,68,عاطف ابراهيم شقلوف شقلوف,57,57,محمد عامر محمد الشريف,47,47,سالم الطاهر مصطفى ابوطلاق,45,45,رضوان محمد امحمد بادي,43,43,حسين المهدي امحمد اسويب,32,32,امين عبدالله محمد الشريف,28,28,احمد محمد عمر المحجوب,18,18,احمد عبدالله علي فضيل,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,48,82,28,34.0,حسن الطاهر علي مصباح,444,444,محمد علي الواعر ابراهيم,198,198,فتحي محمد مفتاح مفتاح,156,156,حمزة سعيد الغضيوي الصغير,110,110,محمد ضو محمد ضو,101,101,علي عبدالسلام المهدي قاجه,95,95,رمضان احمد الزروق بارود,85,85,الهادي خليفة محمد الرزقي,73,73,علي الهادي محمد الزوام,72,72,عبدالقادر علي موسى الغول,71,71,عبدالوهاب عبدالله بشير بشير,61,61,صلاح عبدالسلام مصباح العامري,52,52,الهمالي بشير الهمالي كرناف,52,52,عبدالناصر يونس مفتاح الرباصي,46,46,يوسف خليفة محمد الجغلي,41,41,عبدالله محمد ابوعزوم عبدالنبي بلخير,39,39,حسن عبدالرحيم منصور محمد,31,31,عادل ميلاد رحيل ابوكراع,22,22,مريم بلقاسم محمد الطيب,14,14,حاتم عبدالسلام امحمد ميلاد,11,11,احمد بن بله عمر محمد الهريوت,10,10,فخرالدين عبدالسلام عبدالمطلب ابراهيم,9,9,عبدالسلام عمر عبدالعالي التويجر,9,9,عدنان منصور احمد اجويليق,7,7,عمر علي عمر ابوخنجر,6,6,الهادي ابوبكر عامر علي,3,3,محمد المهدي عبدالكريم اجريبي,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,49,137,39,28.0,عزالدين عبدالسلام عطية قويرب,610,610,محمد عمران محمد الصغير,532,532,عبدالغني احمد محمد الفطيسي,433,433,محمد الهادي علي الهاشمي بن خليل,393,393,مصطفى الهادي محمد الشريف,312,312,عمر نوري عثمان اقدارة,299,299,فتحي ابوبكر محمد بن عائشة,274,274,عمار ميلاد رجب الابلق,220,220,عبدالعزيز محمد علي سالم,214,214,عبدالعظيم عمر محمد السائح الاشهب,212,212,عبدالسلام ميلاد خليفة المقلة,209,209,شمسي عبدالغني احمد دعوب,160,160,عبدالسلام الهادي التوهامي غويلة,141,141,عبدالله ابراهيم محمد الكشر,121,121,الصديق مصطفى المهدي جابر,108,108,محمد جمال الدين مختار محمد علي,107,107,الهادي بلعيد مفتاح احسونه اغا,84,84,عزالدين فرج احمد الشويرف,79,79,عبدالمنعم جمعة محمد الصاري,61,61,مفتاح علي ميلاد حديد,58,58,سالم عمر علي الزعلوك,58,58,عمر عبدالله عمر البربار,50,50,حمزة محمد مفتاح المحجوب,47,47,اشرف رمضان علي صوان,42,42,محمد عمر عطية حبيل,38,38,محمود فرج محمد بن طاهر,36,36,مفتاح عبدالهادي فرج كدي,32,32,طارق المبروك رمضان حضيري,30,30,مصطفى علي خليفة بن خليل,26,26,احمد محمد ابورخيص عاشور,25,25,عطية عمر امحمد حمير,19,19,معمر رمضان محمد قصيل,19,19,حسين عمر سالم اوحيدة,18,18,اسماعيل مصطفى احمد الشيخة العاتي,16,16,خالد محمد عبدالله قراطم,9,9,مصطفى ميلاد محمد حمير,5,5,محمد مصباح شعبان الجندي,5,5,عادل معمر محمد ابوزقاية,3,3,عبدالحكيم سالم عمران البراح,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,50,111,0,0.0,محمود العماري البشير سلامة,0,0,مصطفى خليفة ابراهيم محمد,0,0,اشتيوي عبدالسلام عبدالمولى اميلة,0,0,محمد ابراهيم محمد العامري,0,0,محمود اسماعيل المختار الازرق,0,0,عبدالمنعم محمد سالم محمد,0,0,ناجي عبدالسلام علي انويجي,0,0,جمعة محمد عبدالسلام المغيربي,0,0,عبدالعزيز غيث عمار احمودات,0,0,سيف النصر محمد ميلاد يونس,0,0,حاتم مختار فرحات عمر,0,0,عبدالجواد الضاوي عبدالجواد خليل,0,0,مفتاح سالم خليفة النائض,0,0,مصطفى ابوعجيلة الزروق ابوعجيلة,0,0,وسيم علي نصر ديهوم,0,0,فريفر ابراهيم فريفر فرج,0,0,محمد فرج حسن الساعدي,0,0,ابوبكر احمد سعيد صالح,0,0,بناصر محمد عمر صالح,0,0,احمد صالح محمد هرودة,0,0,صلاح محمد المبروك المنتصر,0,0,محمد عامر محمد العباني,0,0,علي رجب ابراهيم الفرجاني,0,0,ضو عبدالسلام ضو شفتر,0,0,سالم فرج علي كامل,0,0,محمد علي مفتاح الواعر,0,0,حسن الفرجاني سالم سالم,0,0,سليمان محمد فرج الشؤيب,0,0,عبدالعاطي علي البشير الحاج محمد,0,0,خالد علي عون المهدي,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,51,70,0,0.0,مفتاح المختار عمران عز الدين,0,0,علي الزوام موسى ابوبكر,0,0,محمد علي الصيد العسكري,0,0,عبدالمنعم فرج علي الفقيه,0,0,المهدي خليفة محمد ابوطارة,0,0,عبدالفتاح عياد محمد حمزة,0,0,الحسين محمد محمود عبدالصمد,0,0,سالم المسعودي عبدالرحيم احمد,0,0,شعبان عبدالسلام الزروق عبيد,0,0,نجم الدين مفتاح محمد ابو خشيم,0,0,سالم علي عبدالله معيتيق,0,0,خالد محمد عبدالسلام القربازي,0,0,علي السائح علي انبية,0,0,ناصر علي مفتاح الخمري,0,0,محمد عمر فرج موسى,0,0,مخلوف خليفة عبدالسلام القندي,0,0,عبدالسلام محمود شعبان الاسطى,0,0,توفيق سالم محمد الجروشي,0,0,محمد عمران فرج المريض,0,0,اسماعيل عبدالقادر عبدالحفيظ نصر,0,0,فتح الله محمد المهدي ابو راس,0,0,عدنان فوزي محمد الشعاب,0,0,السنوسي عمر مجاهد ابراهيم,0,0,عادل عمران صالح جمعة,0,0,فتحي محمد احمد الزريبي,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,52,76,0,0.0,ابوبكر ابراهيم محمود ميلاد,0,0,عبدالفتاح سالم امحمد مرشان,0,0,يوسف ابراهيم مفتاح ابوغالية,0,0,ابوبكر عبدالسلام مفتاح رمضان,0,0,ابراهيم خليفة جمعة المركز,0,0,يوسف عبدالسلام علي الفرجاني,0,0,عبداللطيف احمد عبدالله هرام,0,0,عبدالله عاشور محمد المصروب,0,0,نورالدين محمد سالم الزائدي,0,0,فوزي عمر جمعة حسين,0,0,ناصر عمر عبدالسلام ابوستين,0,0,عبدالسلام فرج ابراهيم يحي,0,0,مفتاح محمد عبدالسلام المدهون,0,0,عبدالرزاق عمر عبدالله ابوسيف,0,0,مفتاح محمد احمد سلامه,0,0,خالد محمد حسين بالنور,0,0,محمد رمضان عبدالسلام مجبر,0,0,محمد مفتاح يحي الضعيف,0,0,عمر سالم بشير ابشيش,0,0,ميلاد مصباح محمد جبران,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53,61,0,0.0,محمد الامين محمد الابي,0,0,هشام جمعة صالح ابو منجل,0,0,محمد عثمان علي الشامخي,0,0,عبدالمنعم منصور علي الحر,0,0,عبدالسلام عبدالله علي ميله,0,0,الصديق علي محمد الردان,0,0,علي مفتاح علي القدافي,0,0,احمد عبدالعظيم محمد الاربد,0,0,كمال عبدالكريم حسين الشلبي,0,0,ابراهيم محمد علي المعرش,0,0,عبدالمجيد ابراهيم مصطفى ابو رقيقة,0,0,محمد الصغير علي الردان,0,0,محمد مصطفى محمد عطيوة,0,0,محمد الطاهر عبدالسلام بن جمعة,0,0,خالد امحمد علي البكوش,0,0,فرج سالم علي بن غريان,0,0,عبدالناصر الامين محمد النعاس,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
